feedback_text,created_at,category,source,rating
late fee penalty policy is too rigid when bank server transactions fail,2026-07-24 20:09:35,Fees,support ticket,2
mess cutlery is often greasy and not cleaned thoroughly,2026-07-24 20:52:24,Cafeteria,review,1
Fees payment portal debited my account twice!! Kindly revert the amount quickly.,2026-07-24 21:26:57,Administration,email,2
juice bar offers great healthy options at subsidized student rates,2026-07-24 21:30:05,Cafeteria,survey,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-24 21:44:06,Events,survey,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-24 21:52:13,Security,review,2
"transcript request was processed within 2 working days, very impressed",2026-07-24 21:56:08,Administration,feedback form,5
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-24 22:04:04,Academics,support ticket,1
long queues at student welfare window due to single staff member operating,2026-07-24 22:09:30,Administration,feedback form,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-24 22:54:27,Academics,support ticket,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-24 22:55:40,Security,support ticket,5
professors are approachable during designated office consultation hours,2026-07-24 23:05:58,Academics,email,5
juice bar offers great healthy options at subsidized student rates,2026-07-24 23:15:14,Cafeteria,feedback form,5
long queues at student welfare window due to single staff member operating,2026-07-24 23:17:50,Administration,survey,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-24 23:41:22,Academics,feedback form,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-24 23:54:09,Events,feedback form,3
water coolers on third floor are functioning smoothly and chilled,2026-07-25 00:10:35,Facilities,feedback form,4
campus grounds are kept remarkably green and litter-free,2026-07-25 00:25:17,Cleanliness,email,5
elevator in engineering block was under maintenance during morning rush,2026-07-25 00:56:54,Facilities,survey,2
classroom projectors in block 2 have low lamp brightness,2026-07-25 01:34:59,Facilities,email,2
weekend transit schedule should include an extra night service from metro station,2026-07-25 01:42:16,Transportation,email,3
digital library terminal mice are sticky and need replacement,2026-07-25 02:03:22,Library,email,2
Library reading room Wi-Fi fails every time more than 20 students join.,2026-07-25 02:40:11,Library,review,1
badminton court wooden flooring has been maintained in top shape,2026-07-25 02:53:31,Sports,email,5
weekend transit schedule should include an extra night service from metro station,2026-07-25 03:01:29,Transportation,support ticket,3
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-25 03:47:51,Transportation,email,4
late fee penalty policy is too rigid when bank server transactions fail,2026-07-25 04:14:07,Fees,support ticket,2
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-25 04:16:55,Hostel,survey,1
Wi-Fi in hostel common room has been down for three days straight.,2026-07-25 04:50:14,Hostel,review,1
badminton court wooden flooring has been maintained in top shape,2026-07-25 04:54:56,Sports,survey,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-25 05:15:01,Transportation,email,2
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-25 05:55:17,Academics,email,2
digital library terminal mice are sticky and need replacement,2026-07-25 06:36:12,Library,survey,2
online fee receipt generation is instant and hassle-free,2026-07-25 06:36:25,Fees,support ticket,4
classroom projectors in block 2 have low lamp brightness,2026-07-25 07:40:05,Facilities,support ticket,2
professors are approachable during designated office consultation hours,2026-07-25 07:48:33,Academics,survey,5
"transcript request was processed within 2 working days, very impressed",2026-07-25 08:00:18,Administration,review,5
schedule for end semester practical exams overlaps with elective test,2026-07-25 08:07:02,Academics,review,2
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-25 08:08:20,Transportation,feedback form,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-25 08:19:26,Academics,review,4
classroom projectors in block 2 have low lamp brightness,2026-07-25 09:28:07,Facilities,email,2
cricket nets require replacement as the netting has torn at several places,2026-07-25 09:40:33,Sports,support ticket,2
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-25 09:45:44,Transportation,review,2
classroom projectors in block 2 have low lamp brightness,2026-07-25 09:58:44,Facilities,feedback form,2
Wi-Fi in hostel common room has been down for three days straight.,2026-07-25 10:20:36,Hostel,email,2
weekend transit schedule should include an extra night service from metro station,2026-07-25 10:22:02,Transportation,feedback form,3
"transcript request was processed within 2 working days, very impressed",2026-07-25 11:33:01,Administration,feedback form,5
acoustics in the main auditorium were distorted during the musical evening,2026-07-25 11:36:46,Events,email,3
"transcript request was processed within 2 working days, very impressed",2026-07-25 12:11:44,Administration,email,5
study desks in quiet section are comfortable and well-lit,2026-07-25 12:13:29,Library,feedback form,5
campus grounds are kept remarkably green and litter-free,2026-07-25 12:34:28,Cleanliness,support ticket,5
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-25 12:41:23,Security,review,5
elevator in engineering block was under maintenance during morning rush,2026-07-25 12:42:03,Facilities,feedback form,2
water coolers on third floor are functioning smoothly and chilled,2026-07-25 12:59:28,Facilities,email,4
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-25 13:23:50,Cleanliness,feedback form,2
long queues at student welfare window due to single staff member operating,2026-07-25 13:28:37,Administration,feedback form,2
Library reading room Wi-Fi fails every time more than 20 students join.,2026-07-25 13:30:41,Library,survey,1
"transcript request was processed within 2 working days, very impressed",2026-07-25 13:35:10,Administration,feedback form,5
Cannot download research papers from library digital section due to no Wi-Fi.,2026-07-25 13:47:59,Library,email,2
juice bar offers great healthy options at subsidized student rates,2026-07-25 13:55:19,Cafeteria,feedback form,5
Submission portal timed out during class quiz due to poor lecture hall Wi-Fi.,2026-07-25 14:05:25,Academics,survey,2
weekend transit schedule should include an extra night service from metro station,2026-07-25 14:37:50,Transportation,survey,3
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-25 14:45:59,Security,support ticket,5
mess cutlery is often greasy and not cleaned thoroughly,2026-07-25 14:47:56,Cafeteria,feedback form,1
"Gym treadmill belt is slipping, safety hazard!! kindly look into this matter.",2026-07-25 16:26:48,Security,email,4
elevator in engineering block was under maintenance during morning rush,2026-07-25 16:28:00,Facilities,feedback form,2
cricket nets require replacement as the netting has torn at several places,2026-07-25 16:35:52,Sports,survey,2
water coolers on third floor are functioning smoothly and chilled,2026-07-25 16:39:42,Facilities,survey,4
badminton court wooden flooring has been maintained in top shape,2026-07-25 16:49:02,Sports,feedback form,5
long queues at student welfare window due to single staff member operating,2026-07-25 16:51:44,Administration,survey,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-25 17:01:53,Academics,support ticket,2
morning breakfast poha and upma are quite decent and fresh,2026-07-25 17:06:47,Cafeteria,feedback form,4
cricket nets require replacement as the netting has torn at several places,2026-07-25 17:32:03,Sports,feedback form,2
coffee machine in main canteen was broken for two days,2026-07-25 17:47:34,Cafeteria,survey,2
"Library wifi keeps dropping connection every 10 minutes, cannot study",2026-07-25 17:54:09,Library,email,1
professors are approachable during designated office consultation hours,2026-07-25 18:03:44,Academics,feedback form,5
acoustics in the main auditorium were distorted during the musical evening,2026-07-25 18:26:50,Events,feedback form,3
"food quality is mediocre, especially dinner menu is repetitive",2026-07-25 18:34:29,Cafeteria,email,2
"transcript request was processed within 2 working days, very impressed",2026-07-25 18:56:49,Administration,review,5
cricket nets require replacement as the netting has torn at several places,2026-07-25 18:57:29,Sports,email,2
water coolers on third floor are functioning smoothly and chilled,2026-07-25 18:58:45,Facilities,review,4
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-25 19:02:03,Transportation,email,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-25 19:12:51,Events,support ticket,5
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-25 19:14:10,Security,survey,5
Air conditioning in seminar hall 2 is leaking water on the front row seats.,2026-07-25 19:31:04,Administration,email,5
late fee penalty policy is too rigid when bank server transactions fail,2026-07-25 20:22:40,Fees,survey,2
juice bar offers great healthy options at subsidized student rates,2026-07-25 20:49:49,Cafeteria,review,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-25 20:58:49,Security,feedback form,2
professors are approachable during designated office consultation hours,2026-07-25 22:00:16,Academics,survey,5
late fee penalty policy is too rigid when bank server transactions fail,2026-07-25 22:36:43,Fees,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-25 23:19:50,Fees,feedback form,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-25 23:47:35,Cleanliness,support ticket,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-25 23:49:57,Cleanliness,email,2
"transcript request was processed within 2 working days, very impressed",2026-07-26 00:03:15,Administration,feedback form,5
long queues at student welfare window due to single staff member operating,2026-07-26 00:30:53,Administration,survey,2
long queues at student welfare window due to single staff member operating,2026-07-26 01:23:11,Administration,feedback form,2
water coolers on third floor are functioning smoothly and chilled,2026-07-26 01:38:58,Facilities,review,4
professors are approachable during designated office consultation hours,2026-07-26 02:23:48,Academics,support ticket,5
weekend transit schedule should include an extra night service from metro station,2026-07-26 02:27:23,Transportation,email,3
cricket nets require replacement as the netting has torn at several places,2026-07-26 02:39:52,Sports,feedback form,2
coffee machine in main canteen was broken for two days,2026-07-26 02:45:00,Cafeteria,support ticket,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-26 03:14:37,Fees,support ticket,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-26 03:17:17,Cleanliness,survey,2
restrooms in ground floor management block need more frequent checks,2026-07-26 03:21:43,Cleanliness,survey,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-26 04:41:46,Cleanliness,feedback form,2
weekend transit schedule should include an extra night service from metro station,2026-07-26 04:51:12,Transportation,support ticket,3
"food quality is mediocre, especially dinner menu is repetitive",2026-07-26 04:56:00,Cafeteria,feedback form,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-26 05:44:44,Fees,email,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-26 06:08:03,Transportation,feedback form,4
late fee penalty policy is too rigid when bank server transactions fail,2026-07-26 06:12:41,Fees,support ticket,2
study desks in quiet section are comfortable and well-lit,2026-07-26 06:32:13,Library,survey,5
schedule for end semester practical exams overlaps with elective test,2026-07-26 06:32:31,Academics,support ticket,2
digital library terminal mice are sticky and need replacement,2026-07-26 06:38:00,Library,review,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-26 06:40:56,Transportation,survey,4
faculty feedback process is transparent and taken seriously by HOD,2026-07-26 06:41:23,Academics,feedback form,4
"transcript request was processed within 2 working days, very impressed",2026-07-26 06:54:47,Administration,survey,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-26 06:57:17,Security,survey,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-26 08:36:59,Security,review,5
weekend transit schedule should include an extra night service from metro station,2026-07-26 08:43:29,Transportation,support ticket,3
restrooms in ground floor management block need more frequent checks,2026-07-26 08:55:28,Cleanliness,survey,2
Hostel geysers in block C are still leaking despite repeated complaints.,2026-07-26 09:00:12,Hostel,email,1
professors are approachable during designated office consultation hours,2026-07-26 09:15:57,Academics,support ticket,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-26 09:27:29,Transportation,support ticket,2
long queues at student welfare window due to single staff member operating,2026-07-26 09:32:47,Administration,email,2
mess cutlery is often greasy and not cleaned thoroughly,2026-07-26 09:45:26,Cafeteria,review,1
study desks in quiet section are comfortable and well-lit,2026-07-26 10:20:36,Library,feedback form,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-26 11:15:47,Events,feedback form,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-26 11:24:57,Transportation,survey,2
profesor did not upload slides before midsem exam... vry frustrating.,2026-07-26 11:41:13,Cleanliness,email,1
water coolers on third floor are functioning smoothly and chilled,2026-07-26 11:48:39,Facilities,feedback form,4
cricket nets require replacement as the netting has torn at several places,2026-07-26 11:59:09,Sports,review,2
professors are approachable during designated office consultation hours,2026-07-26 12:36:29,Academics,feedback form,5
restrooms in ground floor management block need more frequent checks,2026-07-26 13:16:20,Cleanliness,email,2
"transcript request was processed within 2 working days, very impressed",2026-07-26 13:20:07,Administration,feedback form,5
schedule for end semester practical exams overlaps with elective test,2026-07-26 13:55:01,Academics,review,2
Cannot download research papers from library digital section due to no Wi-Fi.,2026-07-26 13:55:18,Library,review,2
professors are approachable during designated office consultation hours,2026-07-26 13:57:48,Academics,feedback form,5
weekend transit schedule should include an extra night service from metro station,2026-07-26 14:14:03,Transportation,feedback form,3
Internet in common areas is completely unusable after the recent router update.,2026-07-26 14:37:47,Wi-Fi/Internet,email,1
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-26 15:35:30,Hostel,email,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-26 15:37:33,Fees,feedback form,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-26 15:54:03,Academics,support ticket,2
study desks in quiet section are comfortable and well-lit,2026-07-26 16:12:55,Library,review,5
faculty feedback process is transparent and taken seriously by HOD,2026-07-26 16:32:35,Academics,review,4
cricket nets require replacement as the netting has torn at several places,2026-07-26 17:33:31,Sports,email,2
elevator in engineering block was under maintenance during morning rush,2026-07-26 18:23:00,Facilities,feedback form,2
cricket nets require replacement as the netting has torn at several places,2026-07-26 18:36:23,Sports,feedback form,2
schedule for end semester practical exams overlaps with elective test,2026-07-26 19:36:27,Academics,review,2
elevator in engineering block was under maintenance during morning rush,2026-07-26 20:00:00,Facilities,feedback form,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-26 20:13:44,Events,email,5
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-26 20:29:40,Cleanliness,email,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-26 20:36:03,Academics,review,4
professors are approachable during designated office consultation hours,2026-07-26 20:51:46,Academics,feedback form,5
classroom projectors in block 2 have low lamp brightness,2026-07-26 21:04:10,Facilities,feedback form,2
"food quality is mediocre, especially dinner menu is repetitive",2026-07-26 21:04:39,Cafeteria,survey,2
need more copies of the latest edition algorithms reference book,2026-07-26 21:15:46,Library,survey,3
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-26 22:19:22,Hostel,feedback form,2
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-26 22:26:14,Hostel,email,2
"food quality is mediocre, especially dinner menu is repetitive",2026-07-26 22:37:41,Cafeteria,feedback form,2
long queues at student welfare window due to single staff member operating,2026-07-26 22:38:59,Administration,support ticket,2
"Hostel bathroom cleanliness is substandard, cleaning staff does not show up daily.",2026-07-26 23:01:11,Hostel,feedback form,1
faculty feedback process is transparent and taken seriously by HOD,2026-07-26 23:09:57,Academics,email,4
long queues at student welfare window due to single staff member operating,2026-07-26 23:26:46,Administration,email,2
cricket nets require replacement as the netting has torn at several places,2026-07-26 23:51:41,Sports,feedback form,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-27 00:04:54,Academics,survey,4
faculty feedback process is transparent and taken seriously by HOD,2026-07-27 00:30:50,Academics,survey,4
"Gym treadmill belt is slipping, safety hazard!! kindly look into this matter.",2026-07-27 00:35:10,Security,survey,1
study desks in quiet section are comfortable and well-lit,2026-07-27 00:39:41,Library,review,5
elevator in engineering block was under maintenance during morning rush,2026-07-27 00:53:07,Facilities,feedback form,2
badminton court wooden flooring has been maintained in top shape,2026-07-27 01:33:13,Sports,survey,5
coffee machine in main canteen was broken for two days,2026-07-27 01:38:30,Cafeteria,support ticket,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-27 02:05:40,Events,email,5
classroom projectors in block 2 have low lamp brightness,2026-07-27 02:37:14,Facilities,feedback form,2
classroom projectors in block 2 have low lamp brightness,2026-07-27 02:50:22,Facilities,review,2
"Cleanliness of admin block stairs is pathetic, dust everywhere since monday.",2026-07-27 02:52:56,Facilities,review,1
"food quality is mediocre, especially dinner menu is repetitive",2026-07-27 03:01:00,Cafeteria,survey,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-27 03:13:37,Security,survey,2
online fee receipt generation is instant and hassle-free,2026-07-27 03:37:16,Fees,survey,4
water coolers on third floor are functioning smoothly and chilled,2026-07-27 03:53:36,Facilities,feedback form,4
"street lights near basketball court are flickering, feels unsafe at night",2026-07-27 04:12:50,Security,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-27 04:24:49,Fees,support ticket,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-27 04:35:04,Cleanliness,support ticket,2
"hostle mess food is so cold by 7pm, not even eatable seriously :(",2026-07-27 04:48:46,Cafeteria,email,1
"street lights near basketball court are flickering, feels unsafe at night",2026-07-27 04:50:34,Security,survey,2
"transcript request was processed within 2 working days, very impressed",2026-07-27 05:22:33,Administration,support ticket,5
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-27 05:28:11,Security,email,5
digital library terminal mice are sticky and need replacement,2026-07-27 05:41:51,Library,review,2
water coolers on third floor are functioning smoothly and chilled,2026-07-27 05:45:18,Facilities,survey,4
wfi in cafetaria is totally not working yaar... plz do the needful ASAP!!,2026-07-27 05:47:32,Sports,email,5
acoustics in the main auditorium were distorted during the musical evening,2026-07-27 05:54:50,Events,survey,3
digital library terminal mice are sticky and need replacement,2026-07-27 06:05:55,Library,review,2
digital library terminal mice are sticky and need replacement,2026-07-27 06:33:44,Library,email,2
long queues at student welfare window due to single staff member operating,2026-07-27 06:35:51,Administration,survey,2
Continuous wi-fi dropouts while studying on 2nd floor of library,2026-07-27 06:40:56,Library,email,2
cultural fest organization was seamless and guest lectures were inspiring,2026-07-27 06:43:54,Events,support ticket,5
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-27 07:00:31,Transportation,feedback form,4
cultural fest organization was seamless and guest lectures were inspiring,2026-07-27 07:16:48,Events,survey,5
"Library wifi keeps dropping connection every 10 minutes, cannot study",2026-07-27 07:22:02,Library,review,1
"food quality is mediocre, especially dinner menu is repetitive",2026-07-27 08:03:02,Cafeteria,email,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-27 08:10:58,Security,feedback form,2
morning breakfast poha and upma are quite decent and fresh,2026-07-27 08:41:02,Cafeteria,support ticket,4
late fee penalty policy is too rigid when bank server transactions fail,2026-07-27 08:54:55,Fees,survey,2
study desks in quiet section are comfortable and well-lit,2026-07-27 09:22:55,Library,email,5
juice bar offers great healthy options at subsidized student rates,2026-07-27 09:29:17,Cafeteria,feedback form,5
badminton court wooden flooring has been maintained in top shape,2026-07-27 09:42:19,Sports,feedback form,5
"street lights near basketball court are flickering, feels unsafe at night",2026-07-27 10:54:30,Security,feedback form,2
badminton court wooden flooring has been maintained in top shape,2026-07-27 11:44:30,Sports,feedback form,5
badminton court wooden flooring has been maintained in top shape,2026-07-27 11:53:59,Sports,survey,5
Library staff was very helpful with issuing reference textbooks today.,2026-07-27 12:00:58,Events,feedback form,3
schedule for end semester practical exams overlaps with elective test,2026-07-27 12:18:42,Academics,feedback form,2
need more copies of the latest edition algorithms reference book,2026-07-27 12:32:43,Library,feedback form,3
acoustics in the main auditorium were distorted during the musical evening,2026-07-27 12:51:44,Events,support ticket,3
need more copies of the latest edition algorithms reference book,2026-07-27 12:55:48,Library,support ticket,3
study desks in quiet section are comfortable and well-lit,2026-07-27 13:07:53,Library,review,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-27 13:15:36,Events,survey,5
badminton court wooden flooring has been maintained in top shape,2026-07-27 13:21:01,Sports,review,5
badminton court wooden flooring has been maintained in top shape,2026-07-27 14:20:04,Sports,email,5
online fee receipt generation is instant and hassle-free,2026-07-27 14:42:30,Fees,email,4
weekend transit schedule should include an extra night service from metro station,2026-07-27 14:48:55,Transportation,survey,3
Great workshop conducted by robotics club! Really learned a lot.,2026-07-27 14:52:48,Academics,support ticket,5
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-27 14:55:12,Academics,support ticket,2
long queues at student welfare window due to single staff member operating,2026-07-27 14:57:57,Administration,review,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-27 15:07:27,Fees,review,2
cricket nets require replacement as the netting has torn at several places,2026-07-27 15:41:05,Sports,survey,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-27 15:54:17,Security,email,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-27 15:59:23,Transportation,review,2
"Plumbing maintenance in block B is very slow, taps are constantly dripping.",2026-07-27 16:00:22,Hostel,survey,1
badminton court wooden flooring has been maintained in top shape,2026-07-27 16:07:21,Sports,email,5
professors are approachable during designated office consultation hours,2026-07-27 16:15:25,Academics,email,5
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-27 16:19:38,Academics,support ticket,2
Water pressure in 4th floor hostel showers is almost zero in the morning.,2026-07-27 17:02:18,Hostel,support ticket,2
faculty feedback process is transparent and taken seriously by HOD,2026-07-27 17:12:11,Academics,feedback form,4
"Hostel Block D has zero Wi-Fi signal in corner rooms, forced to use mobile hotspot.",2026-07-27 17:16:33,Hostel,survey,1
late fee penalty policy is too rigid when bank server transactions fail,2026-07-27 17:18:00,Fees,review,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-27 17:22:59,Events,support ticket,3
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-27 17:32:00,Security,support ticket,5
"Cleanliness of admin block stairs is pathetic, dust everywhere since monday.",2026-07-27 17:48:23,Sports,review,3
digital library terminal mice are sticky and need replacement,2026-07-27 18:05:26,Library,support ticket,2
acoustics in the main auditorium were distorted during the musical evening,2026-07-27 18:53:08,Events,review,3
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-27 19:13:30,Security,review,5
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-27 19:26:55,Transportation,survey,2
Fees payment portal debited my account twice!! Kindly revert the amount quickly.,2026-07-27 20:06:19,Events,support ticket,3
elevator in engineering block was under maintenance during morning rush,2026-07-27 20:12:20,Facilities,review,2
elevator in engineering block was under maintenance during morning rush,2026-07-27 20:48:00,Facilities,survey,2
need more copies of the latest edition algorithms reference book,2026-07-27 20:48:47,Library,email,3
online fee receipt generation is instant and hassle-free,2026-07-27 21:38:35,Fees,review,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-27 21:43:45,Events,support ticket,3
"Gym treadmill belt is slipping, safety hazard!! kindly look into this matter.",2026-07-27 21:55:57,Cleanliness,feedback form,3
online fee receipt generation is instant and hassle-free,2026-07-27 22:03:19,Fees,review,4
faculty feedback process is transparent and taken seriously by HOD,2026-07-27 22:49:51,Academics,review,4
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-27 22:55:24,Academics,email,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-27 23:11:07,Security,survey,5
need more copies of the latest edition algorithms reference book,2026-07-27 23:17:21,Library,survey,3
schedule for end semester practical exams overlaps with elective test,2026-07-27 23:23:11,Academics,review,2
need more copies of the latest edition algorithms reference book,2026-07-27 23:26:36,Library,email,3
schedule for end semester practical exams overlaps with elective test,2026-07-28 00:03:52,Academics,survey,2
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-28 00:11:17,Cleanliness,feedback form,2
professors are approachable during designated office consultation hours,2026-07-28 00:14:51,Academics,email,5
water coolers on third floor are functioning smoothly and chilled,2026-07-28 00:19:19,Facilities,support ticket,4
"street lights near basketball court are flickering, feels unsafe at night",2026-07-28 01:26:55,Security,feedback form,2
morning breakfast poha and upma are quite decent and fresh,2026-07-28 02:16:54,Cafeteria,survey,4
Drainage in ground floor washroom gets clogged every few days.,2026-07-28 02:19:30,Hostel,email,1
elevator in engineering block was under maintenance during morning rush,2026-07-28 03:32:01,Facilities,support ticket,2
need more copies of the latest edition algorithms reference book,2026-07-28 03:34:18,Library,survey,3
"street lights near basketball court are flickering, feels unsafe at night",2026-07-28 03:44:08,Security,feedback form,2
campus grounds are kept remarkably green and litter-free,2026-07-28 03:49:52,Cleanliness,email,5
long queues at student welfare window due to single staff member operating,2026-07-28 03:53:53,Administration,survey,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-28 04:02:19,Academics,survey,2
online fee receipt generation is instant and hassle-free,2026-07-28 04:15:08,Fees,review,4
acoustics in the main auditorium were distorted during the musical evening,2026-07-28 04:25:50,Events,email,3
schedule for end semester practical exams overlaps with elective test,2026-07-28 04:39:51,Academics,feedback form,2
badminton court wooden flooring has been maintained in top shape,2026-07-28 04:58:04,Sports,feedback form,5
cricket nets require replacement as the netting has torn at several places,2026-07-28 05:35:23,Sports,email,2
Library staff was very helpful with issuing reference textbooks today.,2026-07-28 06:39:36,Sports,support ticket,4
"Library wifi keeps dropping connection every 10 minutes, cannot study",2026-07-28 06:43:23,Library,feedback form,2
Wi-Fi in hostel common room has been down for three days straight.,2026-07-28 06:58:02,Hostel,feedback form,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-28 07:13:35,Fees,support ticket,2
"transcript request was processed within 2 working days, very impressed",2026-07-28 07:35:21,Administration,review,5
cricket nets require replacement as the netting has torn at several places,2026-07-28 07:37:22,Sports,feedback form,2
"street lights near basketball court are flickering, feels unsafe at night",2026-07-28 07:48:04,Security,email,2
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-28 07:49:00,Transportation,review,4
online fee receipt generation is instant and hassle-free,2026-07-28 08:33:01,Fees,survey,4
badminton court wooden flooring has been maintained in top shape,2026-07-28 08:47:30,Sports,review,5
Air conditioning in seminar hall 2 is leaking water on the front row seats.,2026-07-28 09:49:06,Sports,support ticket,4
"Hostel bathroom cleanliness is substandard, cleaning staff does not show up daily.",2026-07-28 09:57:32,Hostel,feedback form,1
study desks in quiet section are comfortable and well-lit,2026-07-28 10:10:09,Library,review,5
long queues at student welfare window due to single staff member operating,2026-07-28 10:37:22,Administration,feedback form,2
coffee machine in main canteen was broken for two days,2026-07-28 10:51:22,Cafeteria,email,2
long queues at student welfare window due to single staff member operating,2026-07-28 11:37:45,Administration,support ticket,2
Cannot download research papers from library digital section due to no Wi-Fi.,2026-07-28 11:49:38,Library,support ticket,2
morning breakfast poha and upma are quite decent and fresh,2026-07-28 11:49:50,Cafeteria,review,4
bus frequency during peak evening hours between 5pm-6pm is adequate,2026-07-28 12:03:02,Transportation,email,4
elevator in engineering block was under maintenance during morning rush,2026-07-28 12:10:16,Facilities,email,2
Bathroom flush in hostel room 304 not working properly since two weeks.,2026-07-28 12:10:51,Hostel,support ticket,1
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-28 12:54:37,Cleanliness,feedback form,2
water coolers on third floor are functioning smoothly and chilled,2026-07-28 12:55:42,Facilities,review,4
cricket nets require replacement as the netting has torn at several places,2026-07-28 13:43:01,Sports,support ticket,2
campus grounds are kept remarkably green and litter-free,2026-07-28 14:02:12,Cleanliness,feedback form,5
late fee penalty policy is too rigid when bank server transactions fail,2026-07-28 14:05:39,Fees,support ticket,2
"driver on route 7 drives aggressively on speed breakers, please check",2026-07-28 14:33:22,Transportation,review,2
schedule for end semester practical exams overlaps with elective test,2026-07-28 15:21:24,Academics,review,2
Wi-Fi in hostel common room has been down for three days straight.,2026-07-28 15:53:46,Hostel,email,1
dustbins in cafeteria annex area overflow during lunch rush hours,2026-07-28 16:22:46,Cleanliness,support ticket,2
lab equipment for digital electronics is outdated and some kits are faulty,2026-07-28 16:29:30,Academics,email,2
campus security personnel are vigilant and polite at main vehicle checkpost,2026-07-28 16:43:39,Security,support ticket,5
study desks in quiet section are comfortable and well-lit,2026-07-28 16:57:53,Library,feedback form,5
weekend transit schedule should include an extra night service from metro station,2026-07-28 16:58:30,Transportation,survey,3
Central library Wi-Fi connectivity is extremely unstable this week,2026-07-28 17:03:05,Library,email,2
"transcript request was processed within 2 working days, very impressed",2026-07-28 17:16:16,Administration,survey,5
cultural fest organization was seamless and guest lectures were inspiring,2026-07-28 17:27:18,Events,survey,5
"food quality is mediocre, especially dinner menu is repetitive",2026-07-28 17:50:45,Cafeteria,feedback form,2
late fee penalty policy is too rigid when bank server transactions fail,2026-07-28 18:01:30,Fees,feedback form,2
